,Bio,Che,Strat,Front,Strain,K
0,0.7452932943838955,3.8006531918295856,"['ENO', 'MDH3']",0,iJR,2
1,-200.0,-200.0,"['EX_ocdca_e', 'PRAMPC']",1,iJR,2
2,-200.0,-200.0,"['EX_ocdca_e', 'NADH8']",1,iJR,2
3,-200.0,-200.0,"['GLUABUTt7', 'UAAGDS']",1,iJR,2
4,-200.0,-200.0,"['D_LACt2', 'RMNt']",1,iJR,2
5,-200.0,-200.0,"['CYTDt2_copy2', 'TMK']",1,iJR,2
6,-200.0,-200.0,"['GARFT', 'MDH3']",1,iJR,2
7,-200.0,-200.0,"['BTS2', 'GALURt2r']",1,iJR,2
8,-200.0,-200.0,"['ACACT1r', 'GPDDA1']",1,iJR,2
9,-200.0,-200.0,"['GUAt', 'EX_ocdca_e']",1,iJR,2
10,-200.0,-200.0,"['EX_na1_e', 'TDPADGAT']",1,iJR,2
